OGNTsort	extendedStrNo	RMAC	SpanishDescription
105439	G3402	N-NPM	SustaNtivo, Nominativo, Plural, Masculino
105440	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105441	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
105442	G5613	CONJ	CONJunción o partícula cunjuntiva
105443	G5043	N-NPN	SustaNtivo, Nominativo, Plural, Neutro
105444	G27	A-NPN	Adjetivo, Nominativo, Plural, Neutro
105445	G2532	CONJ	CONJunción o partícula cunjuntiva
105446	G4043	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105447	G1722	PREP	PREPosición
105448	G26	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105449	G2531	CONJ	CONJunción o partícula cunjuntiva
105450	G2532	CONJ	CONJunción o partícula cunjuntiva
105451	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
105452	G5547	N-NSM-T	SustaNtivo, Nominativo, Singular, Masculino, Título
105453	G25	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
105454	G1473	P-1AP	pronombre Personal, (1) primera, Acusativo, Plural
105455	G2532	CONJ	CONJunción o partícula cunjuntiva
105456	G3860	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
105457	G1438	F-3ASM	pronombre reFlexivo, (3) tercera, Acusativo, Singular, Masculino
105458	G5228	PREP	PREPosición
105459	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
105460	G4376	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
105461	G2532	CONJ	CONJunción o partícula cunjuntiva
105462	G2378	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
105463	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
105464	G2316	N-DSM	SustaNtivo, Dativo, Singular, Masculino
105465	G1519	PREP	PREPosición
105466	G3744	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
105467	G2175	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
105468	G4202	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105469	G1161	CONJ	CONJunción o partícula cunjuntiva
105470	G2532	CONJ	CONJunción o partícula cunjuntiva
105471	G167	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105472	G3956	A-NSF	Adjetivo, Nominativo, Singular, Femenino
105473	G2228	CONJ	CONJunción o partícula cunjuntiva
105474	G4124	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105475	G3366	ADV	ADVerbio o adverbio y partícula combinados
105476	G3687	V-PPM-3S	Verbo, Presente, Pasivo, IMperativo, (3) tercera, Singular
105477	G1722	PREP	PREPosición
105478	G4771	P-2DP	pronombre Personal, (2) segunda, Dativo, Plural
105479	G2531	CONJ	CONJunción o partícula cunjuntiva
105480	G4241	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105481	G40	A-DPM	Adjetivo, Dativo, Plural, Masculino
105482	G2532	CONJ	CONJunción o partícula cunjuntiva
105483	G151	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105484	G2532	CONJ	CONJunción o partícula cunjuntiva
105485	G3473	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105486	G2228	CONJ	CONJunción o partícula cunjuntiva
105487	G2160	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105488	G3739	R-NPN	pronombre Relativo, Nominativo, Plural, Neutro
105489	G3756	PRT-N	PaRTícula, Negativo
105490	G433	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
105491	G235	CONJ	CONJunción o partícula cunjuntiva
105492	G3123	ADV	ADVerbio o adverbio y partícula combinados
105493	G2169	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105494	G3778	D-ASN	pronombre Demostrativo, Acusativo, Singular, Neutro
105495	G1063	CONJ	CONJunción o partícula cunjuntiva
105496	G1492	V-RAM-2P	Verbo, peRfecto, Activa, IMperativo, (2) segunda, Plural
105497	G1097	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105498	G3754	ADV	ADVerbio o adverbio y partícula combinados
105499	G3956	A-NSM	Adjetivo, Nominativo, Singular, Masculino
105500	G4205	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105501	G2228	CONJ	CONJunción o partícula cunjuntiva
105502	G169	A-NSM	Adjetivo, Nominativo, Singular, Masculino
105503	G2228	CONJ	CONJunción o partícula cunjuntiva
105504	G4123	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105505	G3739	R-NSN	pronombre Relativo, Nominativo, Singular, Neutro
105506	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105507	G1496	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105508	G3756	PRT-N	PaRTícula, Negativo
105509	G2192	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105510	G2817	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
105511	G1722	PREP	PREPosición
105512	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
105513	G932	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105514	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105515	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
105516	G2532	CONJ	CONJunción o partícula cunjuntiva
105517	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
105518	G3367	A-NSM	Adjetivo, Nominativo, Singular, Masculino
105519	G4771	P-2AP	pronombre Personal, (2) segunda, Acusativo, Plural
105520	G538	V-PAM-3S	Verbo, Presente, Activa, IMperativo, (3) tercera, Singular
105521	G2756	A-DPM	Adjetivo, Dativo, Plural, Masculino
105522	G3056	N-DPM	SustaNtivo, Dativo, Plural, Masculino
105523	G1223	PREP	PREPosición
105524	G3778	D-APN	pronombre Demostrativo, Acusativo, Plural, Neutro
105525	G1063	CONJ	CONJunción o partícula cunjuntiva
105526	G2064	V-PNI-3S	Verbo, Presente, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
105527	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
105528	G3709	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105529	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105530	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
105531	G1909	PREP	PREPosición
105532	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
105533	G5207	N-APM	SustaNtivo, Acusativo, Plural, Masculino
105534	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
105535	G543	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
105536	G3361	PRT-N	PaRTícula, Negativo
105537	G3767	CONJ	CONJunción o partícula cunjuntiva
105538	G1096	V-PNM-2P	Verbo, Presente, depoNente medio o pasivo, IMperativo, (2) segunda, Plural
105539	G4830	A-NPM	Adjetivo, Nominativo, Plural, Masculino
105540	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
105541	G1510	V-IAI-2P	Verbo, Imperfecto, Activa, Indicativo, (2) segunda, Plural
105542	G1063	CONJ	CONJunción o partícula cunjuntiva
105543	G4218	PRT	PaRTícula, partícula disyuntiva
105544	G4655	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
105545	G3568	ADV	ADVerbio o adverbio y partícula combinados
105546	G1161	CONJ	CONJunción o partícula cunjuntiva
105547	G5457	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
105548	G1722	PREP	PREPosición
105549	G2962	N-DSM	SustaNtivo, Dativo, Singular, Masculino
105550	G5613	CONJ	CONJunción o partícula cunjuntiva
105551	G5043	N-NPN	SustaNtivo, Nominativo, Plural, Neutro
105552	G5457	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
105553	G4043	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105554	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
105555	G1063	CONJ	CONJunción o partícula cunjuntiva
105556	G2590	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105557	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
105558	G5457	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
105559	G1722	PREP	PREPosición
105560	G3956	A-DSF	Adjetivo, Dativo, Singular, Femenino
105561	G19	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105562	G2532	CONJ	CONJunción o partícula cunjuntiva
105563	G1343	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105564	G2532	CONJ	CONJunción o partícula cunjuntiva
105565	G225	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105566	G1381	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105567	G5101	I-NSN	pronombre Interrogativo, Nominativo, Singular, Neutro
105568	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105569	G2101	A-NSN	Adjetivo, Nominativo, Singular, Neutro
105570	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
105571	G2962	N-DSM	SustaNtivo, Dativo, Singular, Masculino
105572	G2532	CONJ	CONJunción o partícula cunjuntiva
105573	G3361	PRT-N	PaRTícula, Negativo
105574	G4790	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105575	G3588	T-DPN	(T) artículo determinado, Dativo, Plural, Neutro
105576	G2041	N-DPN	SustaNtivo, Dativo, Plural, Neutro
105577	G3588	T-DPN	(T) artículo determinado, Dativo, Plural, Neutro
105578	G175	A-DPN	Adjetivo, Dativo, Plural, Neutro
105579	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
105580	G4655	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
105581	G3123	ADV	ADVerbio o adverbio y partícula combinados
105582	G1161	CONJ	CONJunción o partícula cunjuntiva
105583	G2532	CONJ	CONJunción o partícula cunjuntiva
105584	G1651	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105585	G3588	T-APN	(T) artículo determinado, Acusativo, Plural, Neutro
105586	G1063	CONJ	CONJunción o partícula cunjuntiva
105587	G2931	ADV	ADVerbio o adverbio y partícula combinados
105588	G1096	V-PNP-APN	Verbo, Presente, depoNente medio o pasivo, Participio, Acusativo, Plural, Neutro
105589	G5259	PREP	PREPosición
105590	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
105591	G150	A-NSN	Adjetivo, Nominativo, Singular, Neutro
105592	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105593	G2532	CONJ	CONJunción o partícula cunjuntiva
105594	G3004	V-PAN	Verbo, Presente, Activa, iNfinitivo
105595	G3588	T-NPN	(T) artículo determinado, Nominativo, Plural, Neutro
105596	G1161	CONJ	CONJunción o partícula cunjuntiva
105597	G3956	A-NPN	Adjetivo, Nominativo, Plural, Neutro
105598	G1651	V-PPP-NPN	Verbo, Presente, Pasivo, Participio, Nominativo, Plural, Neutro
105599	G5259	PREP	PREPosición
105600	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
105601	G5457	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
105602	G5319	V-PPI-3S	Verbo, Presente, Pasivo, Indicativo, (3) tercera, Singular
105603	G3956	A-NSN	Adjetivo, Nominativo, Singular, Neutro
105604	G1063	CONJ	CONJunción o partícula cunjuntiva
105605	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
105606	G5319	V-PPP-NSN	Verbo, Presente, Pasivo, Participio, Nominativo, Singular, Neutro
105607	G5457	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
105608	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105609	G1352	CONJ	CONJunción o partícula cunjuntiva
