OGNTsort	extendedStrNo	RMAC	SpanishDescription
105028	G1325	V-API-3S	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Singular
105029	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
105030	G5485	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105031	G2596	PREP	PREPosición
105032	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
105033	G3358	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
105034	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
105035	G1431	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
105036	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105037	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
105038	G1352	CONJ	CONJunción o partícula cunjuntiva
